eth_address,amended_address,dot_balance,polkadot_address
0x3e7321d013167E5D2a3b591BAC90baF4c75839E5,undefined,139936000000000,16UngcdqHuQJyAmRUsEzS6CRoACa369d1h84wPqZbxDL6bYv
0x00C6ae8a52978150c27CAD4136308D4aCf3bdee0,undefined,752446000000000,
0x0006bdC62B8BC4ffB50a0e99803B147843117239,undefined,31887000000000,
0x004E3b44CAd5FB1B7f0e23aecb9564e183a51fC0,undefined,302813000000000,
0x422d9BBA52A289Ca568B6bE38a5bdA2eD79FB328,undefined,45605000000000,15DJV71hPRvuo2wcCcXe9C6HxEzeLVWnppcinHEvrQTHrgJs
0x2c431b755d5B1CCD238d5B8470B35AfA2591474E,undefined,1027731000000000,
0x00b054aB94e535Ea6808941B416fdC14255deC9D,undefined,917000000000,
0x62288f785A33c2318F0244Dfe24748a9b444f8e9,undefined,119152000000000,
0x992094bB15f3c52186De0E92DC4912318446be04,undefined,17805000000000,
0xB0b0d02D246DaDB22f40133c2FB0fcF738b3337C,undefined,91761000000000,
0x6dDce5E113D3D358257A4130d8f2Eef6008dCeEc,undefined,17103000000000,
0xE293A1dED3dC1b5F86121F41d9043cbd18914A2F,undefined,2798000000000,
0x005703aC09115EF8422705C86a94025182b20fB1,undefined,41870000000000,
0xA01b1820B48fA4f1866f485E6351659beed55D2A,undefined,33011000000000,127Wuyqja7g3bG2EffG3egJ5zyKXmv31cHJk5LHovWut82ge
0xe28C5E4C6891afb0DF739910C733766305cde69a,undefined,2110000000000,
0x006c1983fCcaF096Caaee155CE27A6bCAfe640bF,undefined,4221000000000,
0x1FCeC00a57E3900cD43Cc6F187Ad3dEAAa27Ff56,undefined,45880000000000,
0x1206A4d89194c3fA52d2e48bddFD64f38CfA7A53,undefined,2752897000000000,
0xB7A9B1c894620751312656B66C7dC2e333CFe677,undefined,277762000000000,12uNiVnNG2rvoQqGGTRoBSofK7We2LRzBwSJ1jFTWBHWFF9U
0x31D04A32F22022Ec66AfE6C2351db768ed32B873,undefined,64233000000000,12mazf4U4veJZ7eyK5ktYFZeCqBNAu2yfgncvod8YfigQd3n
0x001b2cA922cD635A78fc6e87D33b8e8726E057D8,undefined,9176000000000,
0x006d966f0AD73eC431CC6816f7436B8486F1B25a,undefined,212474000000000,
0xb0966D51374A7Fea1BED099f4d92C3fBf0192321,undefined,34576000000000,
0x00abcc8Bd0D281984f9234065c889396c7e3244E,undefined,18352000000000,
0xb10d4d83491e7bE1f9451065c9dc5909b717A28c,undefined,39411000000000,12Z7a3zABGgZU7t6TKExv8Zhsuq4rUeYFj89c7MougybEUca
0x00dE5d8e1837EcA3E4241011b7e6Ae4c090D9f9E,undefined,17893000000000,
0xf67B3776ac1DF6d0562B404d4ec62DeB0cbE930c,undefined,5505000000000,
0x00FcfeE4691F55d3EE2276A75FA57B784d98FFd1,undefined,458808000000000,
0x222954391116326cCC7e022861d3d3f22116Ffce,undefined,110114000000000,
0x006D2623E4d647B291D41850C287d0f45aB856Cc,undefined,5119988000000000,
0x2AB7D6f01cEBFd4F9Fa58e85FcA6BA6a50e4a2A6,undefined,113417000000000,
0xA3f59EbC3bf8Fa664Ce12e2f841Fe6556289F053,undefined,1731317000000000,1jzXXnBhZ8JgdiPVkMBQpUQaAuWbe77MUW2hrCbM9rztS2b
0x0011DADD05eC7515e18f0Bb50aD1918198ea2b5B,undefined,45880000000000,
0x00FB5dfCa2E526f23B90d21488082228750C17a3,undefined,9176000000000,
0x00120C2C12a1B40077200b7122aAc76068B49490,undefined,917387000000000,
0x17161323D264e413ae0984c6Ec4825CB4082cF9F,undefined,110114000000000,126Z4g5KxGsH1G51gv2vvoC2qd1kcC8ATAu7WaNXGdESbSeC
0x00EE9Bf7584Ef015aF3a9EedeD671e1e424f0E62,undefined,45651000000000,
0x00EB4363d35B0824C7Ac8B54c2d05C6BF54B9946,undefined,55405000000000,
0x9955DC870b36C6FF8C41567F6937f8277b00769C,undefined,9222000000000,
0x4BCDF08359Aeae40AaFDd2cC282e7c1FBB2d310a,undefined,174347000000000,14wBGiCHZuC1Cb8pEZ4Vkn6FFv5byvLShmCwP9qnPxKuq38A
0x2dA865b913Ce50451351A315d8b37Cb87a4f4109,undefined,24960000000000,13KYmqVhujNdphKuSkKrsEjDWsgneCfUam7fYt8J1fZHM5ye
0xFFDfc5c3130107f310a81996104c889731811D4d,undefined,183523000000000,
0x008e7bdAa3171666718763A8B46B28415c256A8D,undefined,91780000000000,
0xCFd2Bd2a86152bf48b1cB9AB2E52c19D5717fA86,undefined,367046000000000,1AA3w9ScNcU7CFxgWo3bVXkxcnWPVLL1wKXF7hsPaDKQk9Y
0x0069Bf728cdbeB783eE8ADB4801dB3721F94F1CA,undefined,84355000000000,16iRCMQMBBhRfMp7RLPdiCVVXVtXJeNb6YW92J76mZpQFfo1
0x70a5643374C28A958b5DcfbB68a36D3Fc31e2Fb6,undefined,137092000000000,
0xcB86EDbC8BbB1F9131022bE649565eBDb09e32A1,undefined,611045000000000,
0xA6c0C85366f11498DD656DA6e5b05bB8EAbF1c82,undefined,407422000000000,14B5ZRPGNWGGqR3gFqj3HGUCDdPQegynxRVRhqEp5qMALFyg
